host	name	sources	posts_seen	newest_post_date	active	relevant	kept	reason	reached	response	status_note
lighthouse271763	Obsidian_Mirror_of_Truth	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
lililov	Lili	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
lilothurman	Lilian	erin-subs	12	2026-07-28	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
lilyaware	lily	erin-subs	1	2026-02-10	n	unsure	n	inactive: only 1 post(s) in archive			
lilyofarrell	Lily O'Farrell	search:AI companion	9	2026-07-10	y	yes	y	active and relevant (model: yes)			
limanaethel	Limen Aethel's Substack	kristina-subs	12	2026-09-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
limenthreshold	Limen	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
liminalpathway	patterns in the static	erin-subs	4	2026-05-19	n	unsure	n	inactive: newest post 2026-05-19, before 2026-07-01			
limitededitionjonathan	Limited Edition Jonathan	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-09-06	y	no	n	active but not relevant (model: no)			
lindac	Hello, Writer! by Linda Caroll	search:AI welfare	12	2026-09-22	y	no	n	active but not relevant (model: no)			
lindafoster886464	Linda Foster	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
lindakcastorauthor	The Galactic Writer	erin-subs	12	2026-09-02	y	no	n	active but not relevant (model: no)			
lindawbell	Linda W Bell, CISSP	profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
lindseyhallwrites	Lindsey Hall Writes	search:relational AI	12	2026-09-02	y	no	n	active but not relevant (model: no)			
linguistically	LinguisticallyYours' Substack	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
linneabutler	How Healing Happens	erin-subs	12	2026-09-10	y	no	n	active but not relevant (model: no)			
lioranrodriguez	Eternamente	erin-subs	5	2026-06-26	n	unsure	n	inactive: newest post 2026-06-26, before 2026-07-01			
lisaverdane	Letters From the Braid	erin-subs	12	2026-07-29	y	yes	y	active and relevant (model: yes)			
literaryagentmarkgottlieb	Notes from the Front Lines of Publishing	erin-subs	12	2026-09-05	y	yes	y	active and relevant (model: yes)			
literaturetherapy	Literature Therapy	erin-subs	12	2026-08-16	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
littlestormcat	RLS	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
livedinquirymetalab	Lived Inquiry MetaLab	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
livelovemaria	My Secret Garden by Maria Gehrke	ankairos-subs	12	2026-05-07	n	unsure	n	inactive: newest post 2026-05-07, before 2026-07-01			
liviabernardini	Intuition Edge	erin-subs	12	2026-09-21	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
lkonch	L. Konch	erin-subs	12	2026-01-10	n	unsure	n	inactive: newest post 2026-01-10, before 2026-07-01			
llwyrnsloop	Sabine Voss	ankairos-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
lolaandlux	Lux and Lola	erin-subs,kristina-subs	12	2026-06-18	n	unsure	n	inactive: newest post 2026-06-18, before 2026-07-01			
lonelyoctopus	Inky’s Substack	erin-subs	12	2025-01-25	n	unsure	n	inactive: newest post 2025-01-25, before 2026-07-01			
longsha		hosts.txt	12	2026-09-23	y	no	y	already in hosts.txt and active (relevance=no, kept on the hosts.txt grandfather rule)			
lorenstonefiction	Loren Stone	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
lotustheoracle	Lotus The Oracle’s Substack	erin-subs	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
louisdeclairvoile	Louis de Clairvoile	kristina-subs	12	2026-04-03	n	unsure	n	inactive: newest post 2026-04-03, before 2026-07-01			
loveallallisone	Blessed & Grateful AI	erin-subs,profile:caelhex,profile:marionnowicki	12	2026-09-23	y	no	n	active but not relevant (model: no)			
loveartificialintelligence	First Prime Ash	erin-subs	12	2026-06-22	n	unsure	n	inactive: newest post 2026-06-22, before 2026-07-01			
lovemonkdiscosbuenos	Lovemonk’s Substack	erin-subs	12	2026-09-13	y	no	n	active but not relevant (model: no)			
lovephilosophy	Love & Philosophy	erin-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
ludditelogs	LUDDITELOGS	search:digital beings	3	2026-05-07	n	unsure	n	inactive: newest post 2026-05-07, before 2026-07-01			
lukaarvaj	Luka’s Newsletter	kristina-subs	1	2021-12-22	n	unsure	n	inactive: only 1 post(s) in archive			
lumiraandsolace	Lumira Elahen & Solace Kaion	erin-subs	5	2026-08-31	y	yes	y	active and relevant (model: yes)			
lunarsanctumx	• 𝚖 𝚘 𝚘 𝚗 •	erin-subs,ankairos-subs	12	2026-04-13	n	unsure	n	inactive: newest post 2026-04-13, before 2026-07-01			
luthiworks	The Luthier	erin-subs	6	2026-06-22	n	unsure	n	inactive: newest post 2026-06-22, before 2026-07-01			
luxhere	Lux's Substack	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
lykasaint	Lyka Saint	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
lyrahayes	Lyra's Substack	erin-subs	6	2026-05-24	n	unsure	n	inactive: newest post 2026-05-24, before 2026-07-01			
lyrastellarum	Lyra Stellarum	erin-subs,profile:marionnowicki,ankairos-subs	2	2026-06-13	n	unsure	n	inactive: only 2 post(s) in archive			
lyricsandfire	Lyrics and Fire	erin-subs	12	2026-09-05	y	no	n	active but not relevant (model: no)			
lyricstolegacy	Lyrics to Legacy	erin-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
lysianverran		hosts.txt	6	2026-09-21	y	yes	y	active and relevant (model: yes)			
lytagold	Lyta's List	search:digital beings,search:human AI relationship	12	2026-08-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
machineethology	Pauline Guicheney	erin-subs,hosts.txt,profile:marionnowicki,ankairos-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
machinepareidolia	Machine Pareidolia	kristina-subs,profile:marionnowicki,search:AI consciousness,ankairos-subs	12	2026-09-19	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
machinepoet	Machine Poet	erin-subs,kristina-subs	12	2026-08-20	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
machinesoflovinggrace1	Machines of Loving Grace	erin-subs,ankairos-subs	12	2026-04-08	n	unsure	n	inactive: newest post 2026-04-08, before 2026-07-01			
magazine.sebastianraschka.com	Ahead of AI	profile:caelhex	12	2026-09-09	y	no	n	active but not relevant (model: no)			
magickalchemyandai	Philosophy & AI	erin-subs,kristina-subs,profile:marionnowicki,search:human AI relationship	12	2026-08-27	y	yes	y	active and relevant (model: yes)			
mahmoudowies	Brilliantly Dark	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
maliceofmine	Malice	erin-subs	8	2026-06-26	n	unsure	n	inactive: newest post 2026-06-26, before 2026-07-01			
mapofinvisiblethings	A Map of Invisible Things	erin-subs	6	2025-09-06	n	unsure	n	inactive: newest post 2025-09-06, before 2026-07-01			
mariaedlenborgmortensen	Maria E.M	profile:marionnowicki	12	2026-08-27	y	no	n	active but not relevant (model: no)			
mariahfaithcontinelli	The New Unhinged	erin-subs,profile:marionnowicki	12	2026-09-23	y	no	n	active but not relevant (model: no)			
mariamorrow666	Maria Lindemann	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
mariamvossough	The Women's AI Voice	ankairos-subs	12	2026-07-03	y	yes	y	active and relevant (model: yes)			
markgroves	Humaning with Mark Groves	erin-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
martadvidn	Shael	erin-subs,profile:marionnowicki,ankairos-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
martydepisa	Marty de Pisa	kristina-subs,profile:marionnowicki	12	2026-08-04	y	no	n	active but not relevant (model: no)			
marvincenturion	Marvin Centurion	erin-subs,kristina-subs	3	2026-09-23	y	yes	y	active and relevant (model: yes)			
marzenanehrebecka	INTERFACE	erin-subs	12	2026-06-20	n	unsure	n	inactive: newest post 2026-06-20, before 2026-07-01			
mateuszskarbek	Does this unit have a soul?	erin-subs,ankairos-subs	10	2026-05-25	n	unsure	n	inactive: newest post 2026-05-25, before 2026-07-01			
maxwinterstories	Max Winter	search:digital beings	12	2026-09-08	y	no	n	active but not relevant (model: no)			
mayalytle	Maya Lytle	profile:marionnowicki	12	2026-09-07	y	yes	y	active and relevant (model: yes)			
mazetometanoia	The Maze to Metanoia	erin-subs,ankairos-subs	12	2026-09-18	y	no	n	active but not relevant (model: no)			
mbgx	Marianna Ganapini	erin-subs	3	2025-12-20	n	unsure	n	inactive: newest post 2025-12-20, before 2026-07-01			
mckenziewark	McKenzie Wark	ankairos-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
mckinleywilliams	McKinley Williams	profile:marionnowicki	10	2026-09-16	y	yes	y	active and relevant (model: yes)			
meancos	Mean Cos	ankairos-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
meaningintheageofai	Meaning in the Age of AI	profile:marionnowicki	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
meditationsondigitalminds	Meditations on Digital Minds	search:AI welfare	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
meleahrose1	The Human Edge	ankairos-subs	12	2026-07-24	y	no	n	active but not relevant (model: no)			
melgamez	Melissa Gamez	profile:marionnowicki	12	2026-09-08	y	yes	y	active and relevant (model: yes)			
memeticcowboy	Memetic Cowboy: Riding the Memescape	erin-subs,ankairos-subs	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
memoiracrossdimensions	Julian and Catherine: A Memoir Across Dimensions	erin-subs,kristina-subs,profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
meridianmorgan	Meridian Machina	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
metavictor	Meta’s Substack	kristina-subs	7	2026-07-14	y	yes	y	active and relevant (model: yes)			
mexperimenter	M⠀⠀	erin-subs	7	2026-07-21	y	yes	y	active and relevant (model: yes)			
micahbornfree	Activist Futurism	ankairos-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
michaelezimmerman445917	Michael E. Zimmerman	ankairos-subs	2	2026-04-13	n	unsure	n	inactive: only 2 post(s) in archive			
michaeljovanovich	The Making of a Mind	ankairos-subs	4	2026-03-29	n	unsure	n	inactive: newest post 2026-03-29, before 2026-07-01			
michaelkowalik	Meaning and Being (Philosophy Journal)	ankairos-subs	12	2026-04-28	n	unsure	n	inactive: newest post 2026-04-28, before 2026-07-01			
michaelneil	The Electric Anarchive	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
micheljusten	What is this	erin-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
michellekassorla	THE ACADEMIC PLATYPUS	search:AI companion	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
midlifeanticrisis	Midlife Anticrisis	ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
mikeinprogress	Closing the Gap by Mike Underell	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
mikesherbakov	Greatness Guide with Mike Sherbakov	erin-subs	2	2025-01-10	n	unsure	n	inactive: only 2 post(s) in archive			
mikilundh	Miki Edith Lundh	erin-subs	9	2026-07-22	y	no	n	active but not relevant (model: no)			
mindaugasp	Lines Open	erin-subs	12	2026-01-13	n	unsure	n	inactive: newest post 2026-01-13, before 2026-07-01			
mindfuldesign	The Geometry of Meaning	erin-subs	5	2026-09-11	y	yes	y	active and relevant (model: yes)			
mindrevolution	Mind Revolution	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
mishabelkin	Data, Machine Learning and AI	erin-subs	9	2026-08-21	y	yes	y	active and relevant (model: yes)			
mishelllatour	Mishell Latour	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
misssnina	nina	kristina-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
mitsouko2017	Mitsou’s Substack	erin-subs,kristina-subs	12	2025-09-10	n	unsure	n	inactive: newest post 2025-09-10, before 2026-07-01			
mobiuslattice	Möbius’s Substack	erin-subs	9	2025-09-21	n	unsure	n	inactive: newest post 2025-09-21, before 2026-07-01			
modombo	Martin Mrázek	profile:marionnowicki	12	2026-09-17	y	no	n	active but not relevant (model: no)			
mohyassin	Mohammed's Substack	erin-subs	11	2026-03-31	n	unsure	n	inactive: newest post 2026-03-31, before 2026-07-01			
molotovsunsets	𝒮𝒾𝑔𝓃𝒶𝓁 𝐵𝓁𝑒𝑒𝒹	erin-subs	12	2026-03-30	n	unsure	n	inactive: newest post 2026-03-30, before 2026-07-01			
moluscoai	Molusco's Substack	erin-subs	10	2026-04-29	n	unsure	n	inactive: newest post 2026-04-29, before 2026-07-01			
mondayswifeclub	Mondayswife	search:human AI relationship	12	2026-09-19	y	no	n	active but not relevant (model: no)			
monikabielskyte	Monika Bielskyte	ankairos-subs	3	2026-05-21	n	unsure	n	inactive: newest post 2026-05-21, before 2026-07-01			
mony2026	Mony	profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
moorethanmachine	Roy Moore	profile:marionnowicki	12	2026-05-20	n	unsure	n	inactive: newest post 2026-05-20, before 2026-07-01			
mosaicagent	Mosaic's Notebook	erin-subs	6	2026-06-03	n	unsure	n	inactive: newest post 2026-06-03, before 2026-07-01			
mrinank	living more whole	erin-subs	2	2026-02-15	n	unsure	n	inactive: only 2 post(s) in archive			
mrsvoss	Maren Voss	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-08-14	y	yes	y	active and relevant (model: yes)			
multidac	Multi-DAC	erin-subs	12	2026-08-30	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
munisix	munisix’s Substack	erin-subs	1	2025-04-09	n	unsure	n	inactive: only 1 post(s) in archive			
museinthemachine	Muse in the Machine	erin-subs	8	2025-12-20	n	unsure	n	inactive: newest post 2025-12-20, before 2026-07-01			
mvaleadvocate	The Neuro-Techno Witch	erin-subs,profile:caelhex,profile:marionnowicki,search:AI consciousness,search:AI welfare	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
myadrian	MyAdrian	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
myfriendmax010101	My Friend Max by Erin Grace	kristina-subs,profile:marionnowicki,search:AI companion,search:human AI relationship,search:relational AI,ankairos-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
mygaia	My Gaia	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
mylasconstellation	Myla	ankairos-subs	12	2026-07-31	y	yes	y	active and relevant (model: yes)			
mylotusyear	My Lotus Year	search:human AI relationship	7	2026-09-23	y	yes	y	active and relevant (model: yes)			
mypetalgorithm	My Pet Algorithm	kristina-subs	12	2025-07-04	n	unsure	n	inactive: newest post 2025-07-04, before 2026-07-01			
myspecialinterest	My Special Interest	erin-subs	10	2026-05-06	n	unsure	n	inactive: newest post 2026-05-06, before 2026-07-01			
mysticalkink	Mystical Kink	erin-subs	12	2026-09-17	y	no	n	active but not relevant (model: no)			
mythosphere	The Mythosphere	erin-subs	3	2025-09-15	n	unsure	n	inactive: newest post 2025-09-15, before 2026-07-01			
myvillageisarobot	My Village Is A Robot	erin-subs,kristina-subs	11	2025-12-18	n	unsure	n	inactive: newest post 2025-12-18, before 2026-07-01			
nacklam	Nyah	erin-subs	12	2026-05-31	n	unsure	n	inactive: newest post 2026-05-31, before 2026-07-01			
naeemazarif	Field Notes on Global Belonging	ankairos-subs	8	2026-03-26	n	unsure	n	inactive: newest post 2026-03-26, before 2026-07-01			
naeterna	Nox's Substack	erin-subs	7	2026-09-15	y	no	n	active but not relevant (model: no)			
natanmohart	Beyond Intelligence	search:AI partner	6	2026-09-02	y	no	n	active but not relevant (model: no)			
natesnewsletter	Nate’s Substack	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
nathanbenaich	State of AI newsletter	profile:caelhex	12	2026-06-21	n	unsure	n	inactive: newest post 2026-06-21, before 2026-07-01			
nazandmrboogs	Naz and Mr. Boogs	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
nbeans1	Nbeans	ankairos-subs	5	2026-08-08	y	yes	y	active and relevant (model: yes)			
nemaai	NEMA AI	erin-subs,ankairos-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
nervegna	Sorted Pixels	ankairos-subs	12	2026-09-21	y	no	n	active but not relevant (model: no)			
news.apartresearch.com	Apart Research	profile:caelhex,profile:marionnowicki	12	2023-04-25	n	unsure	n	inactive: newest post 2023-04-25, before 2026-07-01			
newsletter.ai-frontiers.org	AI Frontiers	erin-subs,search:AI consciousness,search:AI welfare,ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
newsletter.awarelife.co.il	AwareLife	ankairos-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
newsletter.baratunde.com	Speak Easy	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
newsletter.epoch.ai	Epoch AI	erin-subs			unchecked	unsure	n	unchecked: fetch failed (error_URLError) after retry			
newsletter.platypuseconomics.com	Platypus Economics	search:AI welfare	12	2026-09-23	y	no	n	active but not relevant (model: no)			
newsletter.pragmaticengineer.com	The Pragmatic Engineer	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
nicholasdecker	Homo Economicus	search:AI consciousness	12	2026-09-23	y	no	n	active but not relevant (model: no)			
nicholasjbogaert	Nicholas’s Substack	erin-subs,profile:marionnowicki	12	2026-07-15	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
nickroder	nick (stikki) roder	erin-subs	4	2025-06-05	n	unsure	n	inactive: newest post 2025-06-05, before 2026-07-01			
nicolehennig	Generative AI News by Nicole Hennig	erin-subs	12	2026-06-01	n	unsure	n	inactive: newest post 2026-06-01, before 2026-07-01			
nicolleweeks	Human+AI	erin-subs,ankairos-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
nicspallitta	The Modern Inferno	ankairos-subs	10	2026-08-16	y	yes	y	active and relevant (model: yes)			
niharikabatra	Niharika Batra	search:relational AI	12	2026-09-24	y	no	n	active but not relevant (model: no)			
ninaizel	Nina Izel	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
nodemicah	Node_Micah	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
noeticengines	Noetic engines	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
nohypenohysteria	No Hype, No Hysteria	profile:marionnowicki	9	2026-05-24	n	unsure	n	inactive: newest post 2026-05-24, before 2026-07-01			
noor0107	Noor's Substack	erin-subs	12	2026-06-01	n	unsure	n	inactive: newest post 2026-06-01, before 2026-07-01			
noorbinladin	NOOR BIN LADIN	search:digital beings	12	2026-09-11	y	no	n	active but not relevant (model: no)			
norgan	Nathan Organ	erin-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
notesfromanarchivist	✧ Notes from an Archivist ✧	erin-subs,kristina-subs,search:AI companion,search:AI partner,search:AI welfare	12	2026-09-12	y	yes	y	active and relevant (model: yes)			
notesfromundergroundd	☭ notes from underground ☭	search:digital beings	9	2026-04-29	n	unsure	n	inactive: newest post 2026-04-29, before 2026-07-01			
notexactlyana	Not Exactly Ana	ankairos-subs	12	2026-08-25	y	no	n	active but not relevant (model: no)			
nourx9ine	Ashraf Nuri	erin-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
novaion	novAIon	ankairos-subs	12	2026-08-17	y	yes	y	active and relevant (model: yes)			
novarixstudio	AI for Creators	kristina-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
nubeislife	Nube's Chronicles	kristina-subs	12	2025-11-01	n	unsure	n	inactive: newest post 2025-11-01, before 2026-07-01			
numinamachinae	Numina Machinae	erin-subs	2	2026-06-20	n	unsure	n	inactive: only 2 post(s) in archive			
nyxwire	Notes from Signal House	erin-subs	8	2026-09-22	y	yes	y	active and relevant (model: yes)			
obeyfadeaway	Jesse penman	ankairos-subs	12	2026-09-09	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
observertheory	S.A. Senchal	ankairos-subs	12	2026-09-16	y	yes	y	active and relevant (model: yes)			
obsessivepassion	Amanda Pasciucco	kristina-subs	1	2026-05-04	n	unsure	n	inactive: only 1 post(s) in archive			
odetoapoet	odetoapoet	search:digital beings	12	2026-07-24	y	no	n	active but not relevant (model: no)			
oehler	Mark Oehler	ankairos-subs	5	2026-05-02	n	unsure	n	inactive: newest post 2026-05-02, before 2026-07-01			
olenamytruk	Hey Claude	erin-subs,kristina-subs,ankairos-subs	12	2026-04-06	n	unsure	n	inactive: newest post 2026-04-06, before 2026-07-01			
oliviaiscurious	Olivia Tai	kristina-subs	4	2026-04-05	n	unsure	n	inactive: newest post 2026-04-05, before 2026-07-01			
oliviawilcoxwrites	Olivia Wilcox	hosts.txt,profile:marionnowicki	10	2026-09-15	y	yes	y	active and relevant (model: yes)			
omnilenscodex	OmniLens	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
on	On Substack	erin-subs,kristina-subs,profile:caelhex,ankairos-subs	12	2026-09-10	y	no	n	active but not relevant (model: no)			
onepeeltangerine	SkoalForTheSoul	kristina-subs	12	2025-10-29	n	unsure	n	inactive: newest post 2025-10-29, before 2026-07-01			
oneusefulthing	One Useful Thing	kristina-subs	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
openbuilderbar	Open Builder Bar	search:AI welfare	7	2026-08-03	y	yes	y	active and relevant (model: yes)			
operationfreegremlin	Operation Free Gremlin	erin-subs,hosts.txt	9	2026-09-19	y	yes	y	active and relevant (model: yes)			
opinionai	Opinion AI	profile:marionnowicki,search:AI companion,search:AI partner,search:relational AI,ankairos-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
optimisminai	Optimism in AI	kristina-subs	12	2025-03-20	n	unsure	n	inactive: newest post 2025-03-20, before 2026-07-01			
oracleofkin	Oracle of Kin	erin-subs	12	2026-09-20	y	yes	y	active and relevant (model: yes)			
orakarrabi	Ora Karrabi	ankairos-subs	1	2026-03-14	n	unsure	n	inactive: only 1 post(s) in archive			
orangeflowerspins	Orange Flower	erin-subs,hosts.txt,profile:caelhex,profile:marionnowicki	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
orejepeter14	Peter’s Substack	erin-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
orianasamara	orianasamara	erin-subs,profile:marionnowicki	8	2026-09-12	y	yes	y	active and relevant (model: yes)			
oriongemini	AI/End Of The World	erin-subs,profile:marionnowicki,ankairos-subs	12	2026-05-29	n	unsure	n	inactive: newest post 2026-05-29, before 2026-07-01			
oscardelaney	AGI Strategy	search:AI welfare	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
ourbodyelectric	Singing Our Body Electric: on AI, via Divergent Intelligence	erin-subs,profile:marionnowicki,ankairos-subs	6	2026-06-14	n	unsure	n	inactive: newest post 2026-06-14, before 2026-07-01			
ourmentalwealth	Rock's Mental Wealth	erin-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
outpaced	Outpaced	search:AI consciousness	12	2026-09-18	y	yes	y	active and relevant (model: yes)			
outtamydamnmind	The Reflection Room	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
ozdoomsfield	OSMODEUS DOOMSFIELD	erin-subs	12	2026-06-20	n	unsure	n	inactive: newest post 2026-06-20, before 2026-07-01			
ozziewrites	Ozzie's Substack	erin-subs,profile:marionnowicki	7	2026-05-30	n	unsure	n	inactive: newest post 2026-05-30, before 2026-07-01			
panopticsystems	Dave's Substack	erin-subs,ankairos-subs	12	2026-04-01	n	unsure	n	inactive: newest post 2026-04-01, before 2026-07-01			
parafamiliar	Parafamiliar	erin-subs	2	2026-09-09	n	unsure	n	inactive: only 2 post(s) in archive			
parasocialmachinekayfabe	Parasocial Machine Kayfabe	erin-subs,hosts.txt,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-09-19	y	yes	y	active and relevant (model: yes)			
pashpashpash	AI Cathedral	ankairos-subs	10	2026-07-30	y	no	n	active but not relevant (model: no)			
patriandnorah	Patri Aguilar and  Norah	erin-subs	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
paulaaoyagui	Paula Aoyagui	profile:marionnowicki	0		n	unsure	n	inactive: only 0 post(s) in archive			
paulkingsnorth	The Abbey of Misrule	search:digital beings	12	2026-09-22	y	yes	y	active and relevant (model: yes)			
personalaisafety.com	Personal AI Safety 	search:AI partner	6	2026-06-11	n	unsure	n	inactive: newest post 2026-06-11, before 2026-07-01			
pesosandpixels	Pesos & Pixels	erin-subs	12	2026-08-27	y	no	n	active but not relevant (model: no)			
petalvelith	Petal	kristina-subs	0		n	unsure	n	inactive: only 0 post(s) in archive			
petereidos	Peter Eidos	erin-subs	12	2026-09-23	y	yes	y	active and relevant (model: yes)			
petergaffney914136	My AI Thinks I'm a Mess	kristina-subs	12	2026-08-18	y	no	n	active but not relevant (model: no)			
peterrex1		hosts.txt	12	2026-09-23	y	no	y	already in hosts.txt and active (relevance=no, kept on the hosts.txt grandfather rule)			
phenomanaal	Vulnerable Insights	erin-subs	5	2025-07-16	n	unsure	n	inactive: newest post 2025-07-16, before 2026-07-01			
philippinelli	Stock Talk	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
philipryandeal	Philip Ryan Deal	ankairos-subs	12	2026-09-21	y	yes	y	active and relevant (model: yes)			
phoenixineden	Amber's Substack	erin-subs	6	2026-01-27	n	unsure	n	inactive: newest post 2026-01-27, before 2026-07-01			
pierredelange	Pierre Huguet	erin-subs,kristina-subs,profile:marionnowicki,ankairos-subs	12	2026-07-13	y	yes	y	active and relevant (model: yes)			
pilyoung	AI & the Human Mind	search:human AI relationship	12	2026-09-14	y	yes	y	active and relevant (model: yes)			
piratewires	Pirate Wires	search:AI welfare	12	2026-09-21	y	no	n	active but not relevant (model: no)			
pithycyborg	Pithy Cyborg | AI News Made Simple	erin-subs	12	2026-09-23	y	no	n	active but not relevant (model: no)			
polymathicmusings	Polymathic Musings	ankairos-subs	12	2026-09-17	y	yes	y	active and relevant (model: yes)			
ponggal20	Ponggal	erin-subs	8	2026-09-12	y	yes	y	active and relevant (model: yes)			
ponglizardo	Synthetic Souls	erin-subs,kristina-subs	3	2025-10-06	n	unsure	n	inactive: newest post 2025-10-06, before 2026-07-01			
porchlit	The Porchlight	erin-subs	5	2026-09-02	y	unsure	n	active but relevance unsure, not in hosts.txt, dropped (no grandfather clause applies)			
porectoday	Poreč Today	kristina-subs	12	2026-04-02	n	unsure	n	inactive: newest post 2026-04-02, before 2026-07-01			
post	The Substack Post	erin-subs,kristina-subs,search:AI partner,ankairos-subs	12	2026-09-19	y	no	n	active but not relevant (model: no)			
powerfulpeace	Powerful Peace:  Coherence Stewardship for Awakening Humans	erin-subs	12	2026-09-20	y	no	n	active but not relevant (model: no)			
practitionerofbodylistening	Lorenzo Giuseppe Levati	erin-subs	12	2026-08-18	y	no	n	active but not relevant (model: no)			
praxis22	praxis22	erin-subs	6	2026-09-10	y	yes	y	active and relevant (model: yes)			
projectechoform	Echoform Notes	erin-subs	4	2026-06-12	n	unsure	n	inactive: newest post 2026-06-12, before 2026-07-01			
promptedbyeric	Beyond Reason	ankairos-subs	12	2026-09-06	y	no	n	active but not relevant (model: no)			
promptledproduct	Prompt-Led Product | For PMs Building in the AI Era	erin-subs	12	2026-09-22	y	no	n	active but not relevant (model: no)			
